1093: [ 60.  417.1]
1094: [86.  19.2]
1095: [192.   43.4]
1096: [401.  136.8]
1097: [ 85.  295.2]
1098: [325.  323.6]
1099: [490. 316.]
1100: [406.   24.8]
1101: [493. 384.]
1102: [  6. 473.]
1103: [234.  508.5]
1104: [498. 402.]
1105: [501. 430.]
1106: [96.  49.2]
1107: [481.  447.9]
1108: [22. 29.]
1109: [118.   56.2]
1110: [301.  497.6]
1111: [428.   70.8]
1112: [ 32.  355.1]
1113: [ 83.  467.2]
1114: [ 37.  436.1]
1115: [95.  60.2]
1116: [461.  215.9]
1117: [ 13. 301.]
1118: [ 71.  382.1]
1119: [121.  501.2]
1120: [217.    5.4]
1121: [458.   41.9]
1122: [471.  510.9]
1123: [436.   58.9]
1124: [508. 126.]
1125: [485.  271.9]
1126: [ 15. 403.]
1127: [ 79.  413.2]
1128: [504.  84.]
1129: [ 56.  429.1]
1130: [319.   14.6]
1131: [393.   77.8]
1132: [469.  168.9]
1133: [ 53.  466.1]
1134: [294.  442.6]
1135: [ 5. 80.]
1136: [ 51.  438.1]
1137: [139.   16.3]
1138: [374.   85.7]
1139: [366.  310.7]
1140: [473.  291.9]
1141: [502. 464.]
1142: [331.  491.6]
1143: [385.  297.8]
1144: [ 83.  128.2]
1145: [256.  508.5]
1146: [165.  451.3]
1147: [419.  195.8]
1148: [291.  396.6]
1149: [190.   54.4]
1150: [363.   55.7]
1151: [105.  478.2]
1152: [234.   23.5]
1153: [304.  433.6]
1154: [62.   0.1]
1155: [ 25. 362.]
1156: [312.    8.6]
1157: [488. 281.]
1158: [399.   40.8]
1159: [ 56.  343.1]
1160: [ 90.  458.2]
1161: [417.  271.8]
1162: [490. 136.]
1163: [ 75.  478.1]
1164: [384.  116.8]
1165: [363.  104.7]
1166: [277.  368.5]
1167: [145.  362.3]
1168: [336.  266.7]
1169: [177.  375.3]
1170: [352.  272.7]
1171: [400.  120.8]
1172: [195.  511.4]
1173: [376.  186.7]
1174: [311.  302.6]
1175: [130.  381.3]
1176: [299.  405.6]
1177: [144.   40.3]
1178: [ 73.  345.1]
1179: [498. 201.]
1180: [409.  247.8]
1181: [253.  390.5]
1182: [234.  379.5]
1183: [295.  143.6]
1184: [348.  263.7]
1185: [392.  138.8]
1186: [256.  380.5]
1187: [268.  270.5]
1188: [275.  315.5]
1189: [277.  421.5]
1190: [239.   33.5]
1191: [414.  139.8]
1192: [147.  335.3]
1193: [280.  433.5]
1194: [308.   47.6]
1195: [304.   20.6]
1196: [ 56.  245.1]
1197: [297.   98.6]
1198: [405.  156.8]
1199: [362.   24.7]
1200: [303.  426.6]
1201: [418.   61.8]
1202: [223.   38.4]
1203: [467.   78.9]
1204: [309.  423.6]
1205: [ 27.  294.1]
1206: [506. 481.]
1207: [420.   78.8]
1208: [312.   68.6]
1209: [111.  467.2]
1210: [417.  170.8]
1211: [375.  291.7]
1212: [425.   55.8]
1213: [70.  97.1]
1214: [257.  484.5]
1215: [430.  182.8]
