0: [ 51.  101.1]
982: [481.  174.9]
983: [342.   55.7]
984: [239.   58.5]
985: [344.   13.7]
986: [478.  352.9]
987: [128.  156.2]
988: [ 25. 420.]
989: [230.  303.4]
990: [501. 379.]
991: [271.  220.5]
992: [346.  316.7]
993: [435.  381.8]
994: [474.  424.9]
995: [186.  204.4]
996: [492. 155.]
997: [440.  417.9]
998: [201.  257.4]
999: [117.  211.2]
1000: [139.  205.3]
1001: [182.  262.4]
1002: [186.  104.4]
1003: [500. 165.]
1004: [ 40.  453.1]
1005: [188.  247.4]
1006: [106.   81.2]
1007: [232.  128.5]
1008: [252.  272.5]
1009: [ 23. 399.]
1010: [116.  204.2]
1011: [34.  36.1]
1012: [303.  166.6]
1013: [482.  316.9]
1014: [254.  239.5]
1015: [245.  233.5]
1016: [ 14. 181.]
1017: [182.  228.4]
1018: [98.  63.2]
1019: [195.    5.4]
1020: [114.   60.2]
1021: [247.  179.5]
1022: [236.  233.5]
1023: [ 7. 79.]
1024: [186.  269.4]
1025: [415.   21.8]
1026: [376.   49.7]
1027: [298.  279.6]
1028: [135.  181.3]
1029: [364.  124.7]
1030: [234.   33.5]
1031: [227.  181.4]
1032: [399.    5.8]
1033: [260.  223.5]
1034: [464.  320.9]
1035: [418.  216.8]
1036: [265.  496.5]
1037: [256.  307.5]
1038: [  4. 472.]
1039: [206.  448.4]
1040: [296.  237.6]
1041: [165.  199.3]
1042: [445.  160.9]
1043: [215.  170.4]
1044: [ 47.  192.1]
1045: [64.  64.1]
1046: [242.  225.5]
1047: [155.  188.3]
1048: [112.   85.2]
1049: [457.   19.9]
1050: [225.  191.4]
1051: [486.   71.9]
1052: [114.   74.2]
1053: [264.  270.5]
1054: [214.   98.4]
1055: [201.   66.4]
1056: [225.   59.4]
1057: [424.   78.8]
1058: [139.  125.3]
1059: [106.   71.2]
1060: [441.   11.9]
1061: [340.  131.7]
1062: [308.  149.6]
1063: [364.   48.7]
1064: [230.  339.4]
1065: [264.   12.5]
1066: [231.  429.5]
1067: [507. 323.]
1068: [197.   81.4]
1069: [320.  237.6]
1070: [195.  290.4]
1071: [150.  194.3]
1072: [470.  511.9]
1073: [125.  181.2]
1074: [181.   95.4]
1075: [11. 71.]
1076: [163.  190.3]
1077: [182.  211.4]
1078: [28.  24.1]
1079: [156.  137.3]
1080: [120.  195.2]
1081: [187.  331.4]
1082: [470.  148.9]
1083: [425.  495.8]
1084: [153.  163.3]
1085: [429.  502.8]
1086: [193.  230.4]
1087: [77.  41.2]
1088: [  8. 173.]
1089: [141.   79.3]
1090: [ 39.  424.1]
1091: [235.  118.5]
1092: [482.  430.9]
1093: [160.   92.3]
1094: [149.  507.3]
1095: [422.    6.8]
1096: [390.  183.8]
1097: [389.  201.8]
1098: [183.  406.4]
1099: [190.  223.4]
1100: [81.   6.2]
1101: [128.  203.2]
1102: [107.  109.2]
1103: [479.  464.9]
1104: [115.  186.2]
1105: [105.  159.2]
1106: [503. 151.]
1107: [ 88.  144.2]
1108: [94.  73.2]
1109: [493. 132.]
1110: [ 33.  442.1]
1111: [128.  506.2]
1112: [177.  152.3]
1113: [173.    1.3]
1114: [140.  109.3]
1115: [  1. 150.]
1116: [287.  238.6]
1117: [193.  191.4]
1118: [232.   71.5]
1119: [424.   88.8]
1120: [459.  470.9]
1121: [93.  21.2]
1122: [ 32.  129.1]
1123: [120.    0.2]
1124: [171.   94.3]
1125: [214.  230.4]
1126: [148.  134.3]
1127: [370.  140.7]
1128: [ 28.  205.1]
1129: [150.   94.3]
1130: [ 45.  474.1]
1131: [468.   87.9]
1132: [334.  196.7]
1133: [133.   72.3]
1134: [ 28.  390.1]
1135: [ 41.  205.1]
1136: [143.   89.3]
